Quartile,Paper Title,Indexed By,Volume,Issue,Publication Date,Publication Type,Cited By
-,Local positioning system of a mobile robot: A practical perspective,9th International Conference on Control; Automation; Robotics and Vision; 2006; ICARCV  06,-,-,2006-12-01,Conference Proceedin,4
-,Linear regression model using bayesian approach for energy performance of residential building,Procedia Computer Science,135,-,2018-01-01,Conference Proceedin,4
-,Fermented Milks: Starter Cultures,Encyclopedia of Dairy Sciences: Second Edition,-,-,2011-01-01,Book,4
-,Fermented Milks: Asian Fermented Milks,Encyclopedia of Dairy Sciences: Second Edition,-,-,2011-01-01,Book,4
Q2,ILSI Southeast Asia Region conference proceedings: The gut; its microbes and health: Relevance for A,Asia Pacific Journal of Clinical Nutrition,26,5,2017-01-01,Journal,4
Q4,Adaptive building envelope system using parametric camshaft mechanism for sustainable building,Applied Mechanics and Materials,232,-,2012-12-31,Book Series,4
-,A Gamification Interactive Typing for Primary School Visually Impaired Children in Indonesia,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,4
-,Gamification for elementary mathematics learning in Indonesia,International Journal of Electrical and Computer Engineering,8,5,2018-01-01,Journal,4
Q2,Correlating laboratory test methodologies to measure skid resistance of pavement surfaces,Transportation Research Record,2506,-,2015-01-01,Book Series,4
Q2,Websites and revisiting behaviour: An investigation of the relative role of predictors,Marketing Intelligence and Planning,31,3,2013-05-01,Journal,4
-,Fast and robust perspective rectification of document images on a smartphone,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,-,-,2014-01-01,Conference Proceedin,4
-,Design and implementation of discrete-event simulation framework for modeling bus rapid transit syst,Jiaotong Yunshu Xitong Gongcheng Yu Xinxi/Journal of Transportation Systems Engineering and Informat,14,4,2014-01-01,Journal,4
-,Design and implementation of discrete-event simulation framework for modeling bus rapid transit syst,Journal of Transportation Systems Engineering and Information Technology,14,4,2013-01-01,Journal,4
-,Social interactions and networking in cyber society,Social Interactions and Networking in Cyber Society,-,-,2017-05-26,Book,4
Q4,A note on kernel principal component regression,Computational Mathematics and Modeling,23,3,2012-07-01,Journal,4
-,An adapted cuckoo optimization algorithm and genetic algorithm approach to the university course tim,International Journal of Computational Intelligence and Applications,13,1,2014-01-01,Journal,4
Q1,Hybrid kernel principal component regression and penalty strategy of multiple adaptive genetic algor,Applied Soft Computing Journal,62,-,2018-01-01,Journal,4
Q2,The impact of UML modeling on defect density and defect resolution time in a proprietary system,Empirical Software Engineering,19,4,2014-01-01,Journal,4
-,Challenges in Implementing Renewable Energy Supply Chain in Service Economy Era,Procedia Manufacturing,4,-,2015-01-01,Journal,4
-,Managing project success using project risk and green supply chain management: A survey of automotiv,International Journal of Managing Projects in Business,11,2,2018-01-01,Journal,4
Q1,Public-private partnerships in the administration and control of Indonesian temporary migrant labour,Political Geography,34,-,2013-05-01,Journal,4
-,Semi-optimal hierarchical regression models and ANNs,IEEE International Conference on Neural Networks - Conference Proceedings,2,-,2004-12-01,Conference Proceedin,4
Q2,Real-time data assimilation for chaotic storm surge model using NARX neural network,Journal of Coastal Research,-,SPEC. ISSUE 64,2011-12-01,Journal,4
-,A novel static and moving obstacles avoidance method using Bayesian filtering for service robot,Proceedings - 2010 2nd International Conference on Advances in Computing; Control and Telecommunicat,-,-,2010-12-01,Conference Proceedin,3
Q2,A framework for obstacles avoidance of humanoid robot using stereo vision: Regular paper,International Journal of Advanced Robotic Systems,10,-,2013-06-12,Journal,3
-,The framework of intelligent telepresence robot based on stereo vision,Journal of Computer Science,8,12,2012-12-01,Journal,3
-,The novel method of adaptive multiplayer games for mobile application using neural networks,International Journal of Mobile Computing and Multimedia Communications,5,1,2013-01-01,Journal,3
Q4,Obstacles avoidance for intelligent telepresence robot using interval type-2 FLC,ICIC Express Letters,8,3,2014-02-04,Journal,3
-,The framework of navigation and voice recognition system of robot guidance for supermarket,International Journal of Software Engineering and its Applications,8,10,2014-01-01,Journal,3
-,Developing Information System of Attendance and Facebook Status for Binus University s Lecturer Usin,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,3
-,Development of coffee maker service robot using speech and face recognition systems using POMDP,Proceedings of SPIE - The International Society for Optical Engineering,10011,-,2016-01-01,Conference Proceedin,3
-,Welcoming Chinese investors in Indonesia: Improving the competency of professional Indonesian-Mandar,IOP Conference Series: Earth and Environmental Science,126,1,2018-03-19,Conference Proceedin,3
-,Implementing high-speed string matching hardware for network intrusion detection systems,Proceedings of the 2008 International Conference on Parallel and Distributed Processing Techniques a,-,-,2008-12-01,Conference Proceedin,3
Q4,Absence system using your own device,Advanced Science Letters,21,4,2015-01-01,Journal,3
-,Smart mobile attendance system using voice recognition and fingerprint on smartphone,Proceeding - 2016 International Seminar on Intelligent Technology and Its Application; ISITIA 2016:,-,-,2017-01-20,Conference Proceedin,3
-,Increasing the accuracy of distance measurement between access point and smartphone,Proceedings - 11th 2016 International Conference on Knowledge; Information and Creativity Support Sy,-,-,2017-06-16,Conference Proceedin,3
-,Increasing accuracy of bluetooth low energy for distance measurement applications,Proceedings - 11th 2016 International Conference on Knowledge; Information and Creativity Support Sy,-,-,2017-06-16,Conference Proceedin,3
-,Improvement of E-learning quality by means of a recommendation system,Proceedings - 11th 2016 International Conference on Knowledge; Information and Creativity Support Sy,-,-,2017-06-16,Conference Proceedin,3
-,Quality measurement of android messaging application based on user experience in microblog,Proceedings - 2017 International Conference on Applied Computer and Communication Technologies; ComC,2017-January,-,2017-12-04,Conference Proceedin,3
Q2,Improvement of adaptive GAs and back propagation ANNs performance in condition diagnosis of multiple,Computational Intelligence and Neuroscience,2014,-,2014-01-01,Journal,3
-,Recognizing debit card fraud transaction using CHAID and K-nearest neighbor: Indonesian Bank case,Proceedings - 11th 2016 International Conference on Knowledge; Information and Creativity Support Sy,-,-,2017-06-16,Conference Proceedin,3
-,The implementation of competitive corporate governance in the South East Asia banking industry,Managerial Issues in Finance and Banking: A Strategic Approach to Competitiveness,-,-,2013-11-01,Book,3
-,Knowledge management and enterprise resource planning implementation: A conceptual model,Journal of Computer Science,10,3,2014-01-01,Journal,3
-,Tracking efficiency measurement of dynamic models on geometric particle filter using KLD-resampling,Proceedings - ICACSIS 2014: 2014 International Conference on Advanced Computer Science and Informati,-,-,2014-03-23,Conference Proceedin,3
-,Multi-sperm tracking using Hungarian Kalman Filter on low frame rate video,2016 International Conference on Advanced Computer Science and Information Systems; ICACSIS 2016,-,-,2017-03-06,Conference Proceedin,3
-,A psychological model explaining why we love or hate statistics,Kasetsart Journal of Social Sciences,38,1,2017-01-01,Journal,3
-,Automatic Debate Text Summarization in Online Debate Forum,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,3
Q4,An adoption of social media for marketing and education tools at museum industry,Advanced Science Letters,21,4,2015-01-01,Journal,3
-,Evaluation of edutainment e-marketing model implementation at Bank Mandiri Museum,2015 International Seminar on Intelligent Technology and Its Applications; ISITIA 2015 - Proceeding,-,-,2015-08-24,Conference Proceedin,3
-,Higher education student behaviors in spreading fake news on social media: A case of LINE group,Proceedings of 2017 International Conference on Information Management and Technology; ICIMTech 2017,2018-January,-,2018-01-29,Conference Proceedin,3
-,Strengthening of Innovation Network to Improvethe Regional Competitiveness towards Social Transforma,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,3
-,Cyber security for website of technology policy laboratory,Lecture Notes in Electrical Engineering,365,-,2016-01-01,Book Series,3
Q2,Step-function approach for E-learning personalization,Telkomnika (Telecommunication Computing Electronics and Control),15,3,2017-01-01,Journal,3
-,Assessing the buyer trust and satisfaction factors in the E-marketplace,Journal of Theoretical and Applied Electronic Commerce Research,13,2,2018-05-01,Journal,3
Q2,E-learning effectiveness analysis in developing countries: East nusa tenggara; Indonesia perspective,Bulletin of Electrical Engineering and Informatics,7,3,2018-01-01,Journal,3
-,Comparison between two mixed reality environments as a teleoperation interface,Proceedings - IEEE International Conference on Robotics and Automation,-,-,2011-12-01,Conference Proceedin,3
-,Game information system,Proceedings of CGAMES 2008 - 12th International Conference on Computer Games: AI; Animation; Mobile;,-,-,2008-01-01,Conference Proceedin,3
Q4,Knowledge management and social learning integration: A conceptual model for higher education,Far East Journal of Electronics and Communications,16,4,2016-12-01,Journal,3
-,Understanding of data mining in computer science learning from PILKADA DKI Jakarta 2017,Proceedings - 2017 International Conference on Applied Computer and Communication Technologies; ComC,2017-January,-,2017-12-04,Conference Proceedin,3
Q2,Perfecting a video game with game metrics,Telkomnika (Telecommunication Computing Electronics and Control),16,3,2018-06-01,Journal,3
-,Software size measurement with use case point for employee application software at STT-PLN,2017 IEEE International Conference on Cybernetics and Computational Intelligence; CyberneticsCOM 201,2017-November,-,2018-03-09,Conference Proceedin,3
-,MOOC architecture model for computer programming courses,Proceedings of 2016 International Conference on Information Management and Technology; ICIMTech 2016,-,-,2017-05-16,Conference Proceedin,3
-,Addressing consistency checking of goal model for software product line government tourism system,Journal of Environmental Management and Tourism,7,1,2016-03-01,Journal,3
-,Development of SPL Government System with Ontology Web Language,Proceedings of 2016 4th International Conference on Cyber and IT Service Management; CITSM 2016,-,-,2016-09-26,Conference Proceedin,3
-,Services modeling based on SOA and BPM for information system flexibility improvement,International Journal of Electrical and Computer Engineering,8,4,2018-08-01,Journal,3
-,Analysis of multi codebook GLVQ versus standard GLVQ in discriminating sleep stages,2012 International Conference on Advanced Computer Science and Information Systems; ICACSIS 2012 - P,-,-,2012-12-01,Conference Proceedin,3
-,The effect of electrocardiogram signal compression using beat reordering and SPIHT on automatic slee,Procedia Engineering,41,-,2012-01-01,Conference Proceedin,3
-,Robust discriminant analysis for classification of remote sensing data,Proceedings - ICACSIS 2014: 2014 International Conference on Advanced Computer Science and Informati,-,-,2014-03-23,Conference Proceedin,3
-,ECG signal compression by predictive coding and Set Partitioning in Hierarchical Trees (SPIHT),ICACSIS 2015 - 2015 International Conference on Advanced Computer Science and Information Systems; P,-,-,2016-02-19,Conference Proceedin,3
-,Cyberbullying classification using text mining,Proceedings - 2017 1st International Conference on Informatics and Computational Sciences; ICICoS 20,2018-January,-,2018-01-30,Conference Proceedin,3
-,Analysis of Gamification Models in Education Using MDA Framework,Procedia Computer Science,135,-,2018-01-01,Conference Proceedin,3
-,Sentiment analysis of customer engagement on social media in transport online,Proceedings - 2017 International Conference on Sustainable Information Engineering and Technology; S,2018-January,-,2018-02-27,Conference Proceedin,3
-,Stepwise Optimization for Model of Integrated Batch Production and Maintenance Scheduling for Single,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,3
Q2,Correlation of Dirac potentials and atomic inversion in cavity quantum electrodynamics,Journal of Mathematical Physics,51,7,2010-07-01,Journal,3
Q2,Dirac four-potential tunings-based quantum transistor utilizing the lorentz force,Quantum Information and Computation,12,11-12,2012-10-02,Journal,3
Q3,Cloud computing technology infrastructure to support the knowledge management process (A case study,Journal of Theoretical and Applied Information Technology,73,3,2015-01-01,Journal,3
Q2,A comparative study of pressure-dependent emission characteristics in different gas plasmas induced,Applied Spectroscopy,67,11,2013-11-01,Journal,3
Q2,Excitation mechanisms in 1 mJ picosecond laser induced low pressure He plasma and the resulting spec,Journal of Applied Physics,117,22,2015-06-14,Journal,3
-,Excellent communication in indonesian government culture to reach good public governance,Pertanika Journal of Social Sciences and Humanities,24,June,2016-06-01,Journal,3
-,Human tracking in a certain closed area based on Global Positioning System (GPS),Internetworking Indonesia Journal,6,1,2014-01-01,Journal,3
Q3,Rapid Detection of Oil Pollution in Soil by Using Laser-Induced Breakdown Spectroscopy,Plasma Science and Technology,18,12,2016-12-01,Journal,3
-,Human tracking in certain indoor and outdoor area by combining the use of RFID and GPS,APWiMob 2016 - IEEE Asia Pacific Conference on Wireless and Mobile 2016; Conference Proceedings,-,-,2017-01-09,Conference Proceedin,3
Q2,Batik semiotics as a media of communication in Java,Cultura. International Journal of Philosophy of Culture and Axiology,9,2,2012-12-01,Journal,3
Q1,Role conflict and the limits of state identity: the case of Indonesia in democracy promotion,Pacific Review,30,3,2017-05-04,Journal,3
-,Pilot aided channel estimation for a 2×2 MIMO DVB-T2 system in high speed mobile environment,IEEE Vehicular Technology Conference,-,-,2012-12-01,Conference Proceedin,3
-,Factors influencing behavioral intentions of television homeshopping with moderating effect of consu,International Journal of Economics and Management,10,SpecialIssue1,2016-01-01,Journal,3
Q3,Mathematical Understanding of the Underprivileged Students through GeoGebra,Journal of Physics: Conference Series,895,1,2017-09-28,Journal,3
Q2,Building customer retention in on-line transportation,Polish Journal of Management Studies,15,2,2017-01-01,Journal,3
-,Decision support system model to assist management consultant in determining the physical infrastruc,Journal of Theoretical and Applied Information Technology,62,1,2014-01-01,Journal,3
-,Participation to public e-service development: A systematic literature review,Journal of Telecommunication; Electronic and Computer Engineering,8,3,2016-01-01,Journal,3
Q4,Design of single user decision support system model based on fuzzy simple additive weighting algorit,Applied Mathematical Sciences,8,13-16,2014-02-11,Journal,3
Q2,A system for real-time passenger monitoring system for bus rapid transit system,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,9012,-,2015-01-01,Book Series,3
Q2,Evaluation of social media channel preference for student engagement improvement in universities usi,Journal of Industrial Engineering and Management,8,5,2015-01-01,Journal,3
-,Learning fraud detection from big data in online banking transactions: A systematic literature revie,Journal of Telecommunication; Electronic and Computer Engineering,8,3,2016-01-01,Journal,3
-,Integrating IS Success Model; SERVQUAL and Kano Model into QFD to improve Hospital Information Syste,Proceedings of 2016 International Conference on Information Management and Technology; ICIMTech 2016,-,-,2017-05-16,Conference Proceedin,3
Q3,Experimental study on epoxy polystyrene as a partial substitution of fine aggregate of concrete mixt,Asian Journal of Civil Engineering,14,6,2013-08-14,Journal,3
-,Implementation of classification technique in web usage mining of banking company,Proceeding - 2016 International Seminar on Intelligent Technology and Its Application; ISITIA 2016:,-,-,2017-01-20,Conference Proceedin,3
-,Design and implementation of modular home security system with short messaging system,EPJ Web of Conferences,68,-,2014-01-01,Conference Proceedin,3
-,Prediction of research topics using combination of machine learning and logistic curve,Journal of Theoretical and Applied Information Technology,49,3,2013-01-01,Journal,3
-,Film recommendation systems using matrix factorization and collaborative filtering,2014 International Conference on Information Technology Systems and Innovation; ICITSI 2014 - Procee,-,-,2014-02-24,Conference Proceedin,3
-,Fuzzy expert system for classifying pests and diseases of paddy using bee colony algorithms,International Review on Computers and Software,11,5,2016-05-01,Journal,3
-,Implementation of Data Synchronization with Data Marker Using Web Service Data,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,3
-,Rank matrixoptimization on NMF; LNMF and nsNMF for feature extraction on mammogram classification,Procedia Engineering,50,-,2012-12-01,Conference Proceedin,3
-,Product development process performance: Measures and impacts,Proceedings - Annual Meeting of the Decision Sciences Institute,-,-,2002-12-01,Conference Proceedin,3
Q1,The diffusion-reaction model on the wettability gradient created by SF                     6 plasma,Plasma Processes and Polymers,9,8,2012-08-01,Journal,3
-,Computer aided diagnosis system for digital mammogram based on neural network and dual tree complex,Procedia Engineering,50,-,2012-12-01,Conference Proceedin,3
-,Game Development "tales of Mamochi" with Role Playing Game Concept Based on Android,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,3
-,Comparison between Neural Network and Support Vector Machine in Optical Character Recognition,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,3
-,Annotation based image retrieval using GMM and spatial related object approaches,International Journal of Control and Automation,8,8,2015-01-01,Journal,3
-,An overview of robotic simulation e-learning,Proceedings - 2009 3rd Asia International Conference on Modelling and Simulation; AMS 2009,-,-,2009-10-13,Conference Proceedin,3
Q3,The determinant of commercial banksâ€™ interest margin in Indonesia: An analysis of fixed effect pan,International Journal of Economics and Financial Issues,4,2,2014-01-01,Journal,3
-,The value relevance of deferred tax attributed to asset revaluations,Journal of Contemporary Accounting and Economics,10,2,2014-01-01,Journal,3
Q2,Relatively Permanent Pigmented or Vascular Skin Marks for Identification: A Pilot Reliability Study,Journal of Forensic Sciences,61,1,2016-01-01,Journal,3
-,Investigation of leverage effect in Indonesian stock market,International Journal of Economics and Management,10,SpecialIssue1,2016-01-01,Journal,3
-,Artificial neural network application in Gross Domestic Product forecasting an Indonesia case,Journal of Theoretical and Applied Information Technology,45,2,2012-01-01,Journal,3
-,Prediction of stock price using Artificial Neural Network: A case of Indonesia,Journal of Theoretical and Applied Information Technology,54,1,2013-01-01,Journal,3
-,Determining factors on purchasing decision through e-commerce: A structural equations modelling fram,Procedia Engineering,50,-,2012-12-01,Conference Proceedin,3
-,Users  interest assessment on job portal,International Journal of Web Portals,6,1,2014-01-01,Journal,3
-,MOOC model: Dimensions and model design to develop learning,New Educational Review,43,1,2016-01-01,Journal,3
-,Investigation of the non-thermal plasma-based advanced oxidation process for removal of organic cont,Journal of Ecological Engineering,18,2,2017-01-01,Journal,3
-,Application of Taguchi method and ANOVA in the optimization of dyeing process on cotton knit fabric,IOP Conference Series: Earth and Environmental Science,109,1,2018-01-05,Conference Proceedin,3
-,The socio-economic impacts of AIDS on families caring for AIDS-orphaned children in Mbeya rural dist,International Journal of Human Rights in Healthcare,10,2,2017-01-01,Journal,3
-,Multi objectives fuzzy ant colony optimization of palm oil based bioenergy supply path searching,ICACSIS 2011 - 2011 International Conference on Advanced Computer Science and Information Systems; P,-,-,2011-12-01,Conference Proceedin,3
Q1,The impact of air transportation; railways transportation; and port container traffic on energy dema,Journal of Air Transport Management,70,-,2018-07-01,Journal,3
-,Analysis and identification Gamelan Bonang sound spectrum,Proceedings - 2nd International Conference on Computational Intelligence; Modelling and Simulation;,-,-,2010-12-01,Conference Proceedin,3
-,Computer security economics based on risk analysis of multilevel authentication design for access co,Advances in Information Sciences and Service Sciences,3,11,2011-12-01,Journal,3
-,A review of KDD-data mining framework and its application in logistics and transportation,Proceedings - 7th International Conference on Networked Computing and Advanced Information Managemen,-,-,2011-09-01,Conference Proceedin,3
Q1,A note of hybrid GR-SVM for prediction of surface roughness in abrasive water jet machining,Meccanica,52,8,2017-06-01,Journal,3
-,Rapidly testing the interaction model of a pronunciation training system via wizard-of-Oz,Proceedings of the 8th International Conference on Language Resources and Evaluation; LREC 2012,-,-,2012-01-01,Conference Proceedin,3
-,New marketing definition: A future agenda for low cost carrier airlines in Indonesia,Business Strategy Series,13,1,2012-01-02,Journal,3
Q2,Physician perceived value as a mediating variable between marketing mix strategy and physician satis,Asia Pacific Journal of Marketing and Logistics,28,5,2016-01-01,Journal,3
-,The effects of reverse logistics on cost control abilities: An insight into manufacturing companies,International Journal of Value Chain Management,8,4,2017-01-01,Journal,3
Q2,Trafficking within migrant smuggling operations: Are underage transporters  victims  or  perpetrator,Asian and Pacific Migration Journal,26,3,2017-01-01,Journal,3
Q2,Optimized dynamic ensembles of multiple chaotic models in predicting storm surges,Journal of Coastal Research,-,SPEC. ISSUE 64,2011-12-01,Journal,3
-,Design and analysis of fast driver s fatigue estimation and drowsiness detection system using androi,Journal of Software,8,12,2013-12-30,Journal,2
-,An expert system of measurement of individual knowledge for teeth treatment,International Journal of Software Engineering and its Applications,9,4,2015-01-01,Journal,2
-,Android-based framework for increasing marriage satisfaction based on psychological aspects,2015 4th International Conference on Informatics; Electronics and Vision; ICIEV 2015,-,-,2015-11-20,Conference Proceedin,2
-,EduRobot: Intelligent Humanoid Robot with Natural Interaction for Education and Entertainment,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
-,The Classification of Hypertensive Retinopathy using Convolutional Neural Network,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
Q4,Illuminative approach in evaluation of curriculum of Chinese literature department,Advanced Science Letters,23,4,2017-01-01,Journal,2
Q1,The effect of information exposure of contract manufacturing practice on consumers  perceived risk;,Journal of Retailing and Consumer Services,42,-,2018-05-01,Journal,2
-,Methodology for evaluating string matching algorithms on multiprocessor,AICCSA 08 - 6th IEEE/ACS International Conference on Computer Systems and Applications,-,-,2008-08-28,Conference Proceedin,2
Q3,Optimized memory based accelerator for scalable pattern matching,Microprocessors and Microsystems,33,7-8,2009-10-01,Journal,2
-,High-speed string matching for network intrusion detection,International Journal of Communication Networks and Distributed Systems,3,4,2009-12-01,Journal,2
-,Modeling of risk factors in determining network security level,International Journal of Security and its Applications,8,3,2014-01-01,Journal,2
-,The development of automatic weather station data logger by microcontroller Netduino,International Journal of Software Engineering and its Applications,8,9,2014-01-01,Journal,2
Q3,Monitoring the water quality in the recycling process,Journal of Physics: Conference Series,622,1,2015-06-22,Conference Proceedin,2
-,Fall Detection Algorithm to Generate Security Alert,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,2
Q4,Response time assessment of Hilbert Huang transform and prony analysis using phasor measurement data,Advanced Science Letters,23,4,2017-01-01,Journal,2
-,Detecting online child grooming conversation,Proceedings - 11th 2016 International Conference on Knowledge; Information and Creativity Support Sy,-,-,2017-06-16,Conference Proceedin,2
-,Software complexity measurement of water poverty mapping application with function point method,Proceedings - 2017 International Conference on Applied Computer and Communication Technologies; ComC,2017-January,-,2017-12-04,Conference Proceedin,2
Q3,Performance test for prototype game for children with adhd,Journal of Physics: Conference Series,978,1,2018-03-16,Conference Proceedin,2
-,Condition diagnosis of bearing system using multiple classifiers of ANNs and adaptive probabilities,WSEAS Transactions on Systems and Control,9,1,2014-01-01,Journal,2
-,Corruption system development based on Indonesiaâ€™s corruption perception index,ICIC Express Letters; Part B: Applications,9,2,2018-02-01,Journal,2
-,The use of Facebook pages as voluntary disclosure media: An analysis of intellectual capital disclos,International Journal of Web Based Communities,13,2,2017-01-01,Journal,2
-,Introduction of new intellectual capital disclosure framework in Indonesia,International Journal of Learning and Intellectual Capital,14,4,2017-01-01,Journal,2
Q3,The impact of e-Procurement practice in Indonesia government: A Preliminary Study (The case of Elect,Journal of Physics: Conference Series,801,1,2017-03-27,Journal,2
-,Improving the accuracy of real-time traffic data gathered by the Floating Car Data method,2014 2nd International Conference on Information and Communication Technology; ICoICT 2014,-,-,2014-01-01,Conference Proceedin,2
-,Handling illumination variation in face recognition using multiscale retinex,2016 International Conference on Advanced Computer Science and Information Systems; ICACSIS 2016,-,-,2017-03-06,Conference Proceedin,2
-,Perceived risk of anti-corruption e-learning; email phishing literacy; and anomia,Lecture Notes in Electrical Engineering,331,-,2015-01-01,Book Series,2
Q2,The mediating role of social competition identity management strategy in the predictive relationship,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,8407 LNCS,-,2014-01-01,Book Series,2
-,Learned helplessness of prisoners: Psychology and knowledge management perspective,Proceedings of the European Conference on Knowledge Management; ECKM,1,-,2014-01-01,Conference Proceedin,2
-,Is virtual marriage acceptable? A psychological study investigating the role of ambiguity tolerance,Journal of Psychological and Educational Research,24,2,2016-01-01,Journal,2
Q4,The development of Indonesia small medium enterprise (SME) rating and review portal,International Journal of Multimedia and Ubiquitous Engineering,10,3,2015-01-01,Journal,2
Q4,Mapping of illiteracy and information and communication technology indicators using geographically w,Journal of Mathematics and Statistics,10,2,2014-01-01,Journal,2
Q3,Data clustering and zonation of earthquake building damage hazard area using FKCN and kriging algori,Smart Innovation; Systems and Technologies,27,VOL 1,2014-01-01,Book Series,2
-,Offline Signature Recognition and Verification System using Efficient Fuzzy Kohonen Clustering Netwo,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
-,Unlock screen application design using face expression on android smartphone,MATEC Web of Conferences,54,-,2016-04-22,Conference Proceedin,2
-,Automating functional and structural software size measurement based on XML structure of UML sequenc,2017 IEEE International Conference on Cybernetics and Computational Intelligence; CyberneticsCOM 201,2017-November,-,2018-03-09,Conference Proceedin,2
-,Mobile food ordering application using android os platform,EPJ Web of Conferences,68,-,2014-01-01,Conference Proceedin,2
-,Smart city s context awareness using social media,2016 International Conference on ICT for Smart Society; ICISS 2016,-,-,2016-12-21,Conference Proceedin,2
-,Developing controller area network management application based on modbus in multi generator set con,Procedia Engineering,50,-,2012-12-01,Conference Proceedin,2
-,Face recognition using Gabor Wavelet and Non-negative Matrix Factorization,IntelliSys 2015 - Proceedings of 2015 SAI Intelligent Systems Conference,-,-,2015-12-18,Conference Proceedin,2
-,Thematic development for measuring cohesion and coherence between sentences in English paragraph,2016 4th International Conference on Information and Communication Technology; ICoICT 2016,-,-,2016-09-19,Conference Proceedin,2
-,It Takes Two to Tango: Modification of Siamese Long Short Term Memory Network with Attention Mechani,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
-,Analysis of security and performance service in service oriented architecture (SOA) and data integra,International Conference on Electrical Engineering; Computer Science and Informatics (EECSI),1,-,2014-08-01,Conference Proceedin,2
-,Impact of extrinsic and intrinsic motivation on knowledge sharing in virtual communities of practice,Indonesian Journal of Electrical Engineering and Computer Science,1,3,2016-03-01,Journal,2
-,The adoption of Facebook as internet marketing strategies in journal promotion,Proceedings of 2016 International Conference on Information Management and Technology; ICIMTech 2016,-,-,2017-05-16,Conference Proceedin,2
-,Development of Review Rating and Reporting in Open Journal System,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
-,Overcome Acrophobia with the Help of Virtual Reality and Kinect Technology,Procedia Computer Science,116,-,2017-01-01,Conference Proceedin,2
-,Detecting documents plagiarism using winnowing algorithm and k-gram method,2017 IEEE International Conference on Cybernetics and Computational Intelligence; CyberneticsCOM 201,2017-November,-,2018-03-09,Conference Proceedin,2
-,Development of IT risk management framework using COBIT 4.1; implementation in it governance for sup,ACM International Conference Proceeding Series,Part F130654,-,2017-07-09,Conference Proceedin,2
-,Evaluation of knowledge management system using technology acceptance model,International Conference on Electrical Engineering; Computer Science and Informatics (EECSI),4,-,2017-09-01,Conference Proceedin,2
-,Analysis of satisfaction factor for development recommendation tourism web system,Journal of Environmental Management and Tourism,7,1,2016-03-01,Journal,2
Q3,E-commerce recommender for usage bandwidth hotel,Indonesian Journal of Electrical Engineering and Computer Science,9,1,2018-01-01,Journal,2
Q3,The use of quality; security and trust factors to improve the online purchase decision,Journal of Theoretical and Applied Information Technology,96,5,2018-03-15,Journal,2
Q2,An adaptive learning system based on knowledge level for English learning,International Journal of Emerging Technologies in Learning,13,12,2018-01-01,Journal,2
Q2,Adaptive neuro fuzzy inference system for diagnosing dengue hemorrhagic fever,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,9011,-,2015-01-01,Book Series,2
-,Steganography using pixel value differencing spiral,Journal of Theoretical and Applied Information Technology,75,1,2015-01-01,Journal,2
-,Recurrent gradient descent adaptive learning rate and momentum neural network for rainfall forecasti,Proceedings - 2016 International Seminar on Application of Technology for Information and Communicat,-,-,2017-03-07,Conference Proceedin,2
-,Weather forecasting using merged Long Short-Term Memory Model (LSTM) and Autoregressive Integrated M,Journal of Computer Science,14,7,2018-01-01,Journal,2
-,Rekening Bersama (RekBer) the Indonesian escrow service of money,International Journal of Multimedia and Ubiquitous Engineering,11,3,2016-01-01,Journal,2
-,Research plan development concerning e-image impact towards online purchase intention and premium pr,Proceedings - 2015 International Conference on Science in Information Technology: Big Data Spectrum,-,-,2016-02-16,Conference Proceedin,2
-,The determinants affecting e-loyalty: Hospitality industry in Indonesia,Proceeding - 2016 2nd International Conference on Science in Information Technology; ICSITech 2016:,-,-,2017-02-13,Conference Proceedin,2
-,Big data analysis with MongoDB for decision support system,Telkomnika (Telecommunication Computing Electronics and Control),14,3,2016-01-01,Journal,2
-,Using Augmented Reality to Enhance Aetherpet; a Prototype of a Social Game,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,2
-,Exploration of second life as a virtual game environment for teleoperation,Proceedings - APCHI-ERGOFUTURE 2010,-,-,2010-12-01,Conference Proceedin,2
-,Easy understanding for mining discriminant itemset with emerging patterns,Proceedings - 2017 International Conference on Applied Computer and Communication Technologies; ComC,2017-January,-,2017-12-04,Conference Proceedin,2
Q3,Matchmaking problems in MOBA games,Indonesian Journal of Electrical Engineering and Computer Science,11,3,2018-09-01,Journal,2
